booking_id,cancellation_type,enddate
14584456,52,2021-09-03 17:00:00.000
14587074,52,2021-10-17 17:00:00.000
14587535,52,2021-09-11 17:00:00.000
14612781,52,2021-03-29 17:00:00.000
14615439,52,2021-09-25 17:00:00.000
14573558,53,2021-07-16 17:00:00.000
14615475,52,2021-06-05 17:00:00.000
14616676,53,2021-09-27 17:00:00.000
14616699,53,2021-08-09 17:00:00.000
14616752,53,2021-07-18 17:00:00.000
14616760,53,2021-09-19 17:00:00.000
14616791,52,2021-07-22 17:00:00.000
14616851,52,2021-11-18 17:00:00.000
14616856,53,2021-08-16 17:00:00.000
14616838,53,2021-05-25 17:00:00.000
14616869,52,2021-05-10 17:00:00.000
14616901,52,2021-11-08 17:00:00.000
14616931,53,2021-09-29 17:00:00.000
14617030,53,2021-10-02 17:00:00.000
14617067,52,2021-08-26 17:00:00.000
14617071,52,2021-04-29 17:00:00.000
14617242,52,2021-07-16 17:00:00.000
14617283,52,2021-11-05 17:00:00.000
14617304,53,2021-07-09 17:00:00.000
14617315,52,2021-08-21 17:00:00.000
14617343,53,2021-10-04 17:00:00.000
14617346,53,2021-05-06 17:00:00.000
14617365,52,2021-06-21 17:00:00.000
14617370,52,2021-08-21 17:00:00.000
14617565,53,2021-05-05 17:00:00.000
14617421,53,2021-04-28 17:00:00.000
14617425,53,2021-04-28 17:00:00.000
14617647,53,2021-10-07 17:00:00.000
14617641,52,2021-08-26 17:00:00.000
14617730,52,2021-05-15 17:00:00.000
14617774,53,2021-09-18 17:00:00.000
14617762,53,2021-09-03 17:00:00.000
14617694,53,2021-04-22 17:00:00.000
14617766,53,2021-09-13 17:00:00.000
14617596,52,2021-09-09 17:00:00.000
14617678,53,2021-08-25 17:00:00.000
14617665,52,2021-11-30 17:00:00.000
14617676,53,2021-05-25 17:00:00.000
14617586,52,2021-04-01 17:00:00.000
14617514,53,2021-05-24 17:00:00.000
14617830,52,2021-08-27 17:00:00.000
14617860,52,2021-05-20 17:00:00.000
14617893,52,2021-07-15 17:00:00.000
14617952,52,2021-05-05 17:00:00.000
14614753,52,2021-08-01 17:00:00.000
14614877,52,2021-05-20 17:00:00.000
14614879,52,2021-06-27 17:00:00.000
14614988,52,2021-06-10 17:00:00.000
14614990,52,2021-07-10 17:00:00.000
14615577,52,2021-05-02 17:00:00.000
14614717,52,2021-08-21 17:00:00.000
14613465,52,2021-08-08 17:00:00.000
14613498,52,2021-07-09 17:00:00.000
14613595,52,2021-02-09 17:00:00.000
14613635,52,2021-11-10 17:00:00.000
14613674,52,2021-02-26 17:00:00.000
14613849,52,2021-06-05 17:00:00.000
14614023,52,2021-11-20 17:00:00.000
14614077,52,2021-06-22 17:00:00.000
14614128,52,2021-07-02 17:00:00.000
14614129,52,2021-06-29 17:00:00.000
14614544,52,2021-08-06 17:00:00.000
14614633,52,2021-06-19 17:00:00.000
14618146,53,2021-08-10 17:00:00.000
14618271,53,2021-06-26 17:00:00.000
14618227,53,2021-12-04 17:00:00.000
14618281,53,2021-07-02 17:00:00.000
14618235,52,2021-06-08 17:00:00.000
14618292,53,2021-12-17 17:00:00.000
14618260,53,2021-08-23 17:00:00.000
14618214,53,2021-04-16 17:00:00.000
14618206,52,2021-10-05 17:00:00.000
14618172,53,2021-05-27 17:00:00.000
14618176,53,2021-05-26 17:00:00.000
14618123,53,2021-08-31 17:00:00.000
14618200,52,2021-03-12 17:00:00.000
14618328,53,2021-10-28 17:00:00.000
14618267,52,2021-09-29 17:00:00.000
